observation_date,PPICRM
1947-04-01,30.6
1947-07-01,31.7
1947-10-01,34.3
1948-01-01,34.7
1948-04-01,35.2
1948-07-01,35.5
1948-10-01,33.4
1949-01-01,31.2
1949-04-01,30.0
1949-07-01,29.3
1949-10-01,29.6
1950-01-01,30.1
1950-04-01,31.4
1950-07-01,33.9
1950-10-01,35.5
1951-01-01,39.0
1951-04-01,38.5
1951-07-01,36.3
1951-10-01,36.6
1952-01-01,35.4
1952-04-01,34.8
1952-07-01,34.4
1952-10-01,33.5
1953-01-01,32.4
1953-04-01,31.6
1953-07-01,32.0
1953-10-01,31.4
1954-01-01,32.0
1954-04-01,31.9
1954-07-01,31.4
1954-10-01,31.1
1955-01-01,30.9
1955-04-01,30.6
1955-07-01,30.3
1955-10-01,29.8
1956-01-01,29.7
1956-04-01,30.5
1956-07-01,30.8
1956-10-01,31.3
1957-01-01,31.1
1957-04-01,31.0
1957-07-01,31.7
1957-10-01,31.2
1958-01-01,31.9
1958-04-01,32.1
1958-07-01,31.9
1958-10-01,31.9
1959-01-01,31.5
1959-04-01,31.5
1959-07-01,30.9
1959-10-01,30.5
1960-01-01,30.5
1960-04-01,30.7
1960-07-01,30.1
1960-10-01,30.2
1961-01-01,30.4
1961-04-01,29.9
1961-07-01,30.2
1961-10-01,30.4
1962-01-01,30.5
1962-04-01,30.0
1962-07-01,30.6
1962-10-01,30.8
1963-01-01,30.0
1963-04-01,29.8
1963-07-01,29.9
1963-10-01,29.8
1964-01-01,29.6
1964-04-01,29.3
1964-07-01,29.6
1964-10-01,29.8
1965-01-01,29.8
1965-04-01,30.9
1965-07-01,31.4
1965-10-01,32.2
1966-01-01,33.4
1966-04-01,33.1
1966-07-01,33.4
1966-10-01,32.4
1967-01-01,31.6
1967-04-01,31.1
1967-07-01,31.3
1967-10-01,31.3
1968-01-01,31.5
1968-04-01,31.5
1968-07-01,31.7
1968-10-01,32.4
1969-01-01,32.5
1969-04-01,33.9
1969-07-01,34.3
1969-10-01,35.0
1970-01-01,35.3
1970-04-01,35.2
1970-07-01,35.1
1970-10-01,35.0
1971-01-01,35.4
1971-04-01,36.1
1971-07-01,35.8
1971-10-01,36.9
1972-01-01,38.0
1972-04-01,39.1
1972-07-01,40.3
1972-10-01,42.2
1973-01-01,47.1
1973-04-01,52.5
1973-07-01,59.2
1973-10-01,58.9
1974-01-01,63.3
1974-04-01,58.1
1974-07-01,61.2
1974-10-01,63.0
1975-01-01,58.2
1975-04-01,60.7
1975-07-01,63.3
1975-10-01,64.5
1976-01-01,62.2
1976-04-01,64.2
1976-07-01,63.9
1976-10-01,63.6
1977-01-01,65.5
1977-04-01,67.1
1977-07-01,64.1
1977-10-01,65.3
1978-01-01,68.5
1978-04-01,73.2
1978-07-01,74.3
1978-10-01,77.5
1979-01-01,82.0
1979-04-01,84.9
1979-07-01,86.6
1979-10-01,90.0
1980-01-01,91.4
1980-04-01,89.3
1980-07-01,98.0
1980-10-01,102.8
1981-01-01,103.8
1981-04-01,104.3
1981-07-01,103.9
1981-10-01,99.9
1982-01-01,99.8
1982-04-01,101.3
1982-07-01,99.9
1982-10-01,98.9
1983-01-01,99.8
1983-04-01,100.9
1983-07-01,101.7
1983-10-01,103.0
1984-01-01,104.7
1984-04-01,104.3
1984-07-01,103.4
1984-10-01,101.6
1985-01-01,99.0
1985-04-01,95.9
1985-07-01,93.2
1985-10-01,95.1
1986-01-01,91.0
1986-04-01,86.1
1986-07-01,86.6
1986-10-01,87.3
1987-01-01,90.0
1987-04-01,93.6
1987-07-01,96.0
1987-10-01,95.3
1988-01-01,94.5
1988-04-01,96.1
1988-07-01,96.9
1988-10-01,96.6
1989-01-01,102.2
1989-04-01,103.9
1989-07-01,102.4
1989-10-01,103.8
1990-01-01,106.2
1990-04-01,102.1
1990-07-01,109.1
1990-10-01,118.1
1991-01-01,106.0
1991-04-01,100.1
1991-07-01,99.0
1991-10-01,99.9
1992-01-01,97.6
1992-04-01,100.0
1992-07-01,101.7
1992-10-01,102.2
1993-01-01,101.5
1993-04-01,104.2
1993-07-01,101.2
1993-10-01,102.8
1994-01-01,103.2
1994-04-01,102.9
1994-07-01,101.0
1994-10-01,99.8
1995-01-01,102.4
1995-04-01,103.0
1995-07-01,101.1
1995-10-01,104.2
1996-01-01,110.4
1996-04-01,113.7
1996-07-01,114.2
1996-10-01,116.7
1997-01-01,117.2
1997-04-01,107.7
1997-07-01,107.1
1997-10-01,112.7
1998-01-01,101.0
1998-04-01,99.1
1998-07-01,94.1
1998-10-01,92.6
