time,Interest Rate,Real Wages,Adjusted Reserves,PPIC,GDP,private_consumption,government_expenditure,government_revenue,private_non_residential_investment,gdp_deflator,Population
1954Q3,1.03,42.832,8.191,31.4,390996000000,240303000000,91148000000,84749000000,36788000000,13.574,162731000
1954Q4,0.99,43.388,8.362,31.1,399734000000,245093000000,91356000000,87221000000,38574000000,13.611,163524000
1955Q1,1.34,43.629,8.339,30.9,413073000000,251398000000,91869000000,91904000000,43283000000,13.675,164204000
1955Q2,1.5,44.054,8.358,30.6,421532000000,256466000000,92533000000,94333000000,46683000000,13.731,164864000
1955Q3,1.94,44.802,8.32,30.3,430221000000,260651000000,94099000000,96681000000,49121000000,13.827,165612000
1955Q4,2.36,45.072,8.329,29.8,437092000000,264639000000,93331000000,99018000000,54317000000,13.964,166419000
1956Q1,2.48,45.768,8.372,29.7,439746000000,266156000000,94848000000,100322000000,54171000000,14.104,167109000
1956Q2,2.69,46.345,8.426,30.5,446010000000,268834000000,98247000000,102319000000,52646000000,14.187,167788000
1956Q3,2.81,46.575,8.402,30.8,451191000000,272075000000,98279000000,102666000000,54315000000,14.365,168573000
1956Q4,2.93,46.961,8.467,31.3,460463000000,277445000000,101345000000,106045000000,53654000000,14.423,169416000
1957Q1,2.93,47.241,8.454,31.1,469779000000,281889000000,105342000000,108974000000,54627000000,14.621,170172000
1957Q2,3.0,47.312,8.461,31.0,472025000000,284176000000,105842000000,108858000000,55297000000,14.723,170869000
1957Q3,3.23,47.515,8.461,31.7,479490000000,288750000000,107405000000,109169000000,56875000000,14.811,171638000
1957Q4,3.25,47.92,8.441,31.2,474864000000,290368000000,110062000000,106474000000,48696000000,14.821,172417000
1958Q1,1.86,47.36,8.559,31.9,467540000000,289888000000,109843000000,103285000000,45360000000,14.982,173064000
1958Q2,0.94,47.466,8.809,32.1,471978000000,292819000000,113624000000,103563000000,43596000000,15.025,173729000
1958Q3,1.32,48.595,8.889,31.9,485841000000,297893000000,115093000000,107584000000,48982000000,15.117,174483000
1958Q4,2.16,48.743,8.867,31.9,499555000000,301823000000,117992000000,112181000000,54567000000,15.189,175288000
1959Q1,2.57,49.137,8.997,31.5,510330000000,309449000000,117195000000,118229000000,54818000000,15.224,176045000
1959Q2,3.08,49.471,9.054,31.5,522653000000,315505000000,118535000000,122508000000,60023000000,15.248,176727000
